,baseline,bert_blf_spectral_resnet,bert_blf_spectral_incp,bert_mfcc_bow_resnet,bert_mfcc_bow_incp,bert_blf_logfluc_resnet,bert_blf_logfluc_incp,tfidf_blf_spectral_resnet,tfidf_blf_spectral_incp,tfidf_mfcc_bow_resnet,tfidf_mfcc_bow_incp,tfidf_blf_logfluc_resnet,tfidf_blf_logfluc_incp
baseline,1.0,-0.9999979692321005,-0.9999976454864932,-0.9999978985966953,-0.9999977690984524,-0.9999979633458168,-0.9999979633458166,-0.9999979692321005,-0.9999976631453446,-0.999997904482979,-0.9999977808710199,-0.9999979633458168,-0.9999979633458166
bert_blf_spectral_resnet,,1.0,-0.8487430797537002,-0.05530429658982564,-0.9585106465950277,-0.9999769551990528,-0.999977202422971,0.9963645428513364,-0.8488860046098431,-0.0551826683083512,-0.9585319019657097,-0.9999769375402016,-0.999977202422971
bert_blf_spectral_incp,,,1.0,-0.8692391669201447,-0.8880963478699525,-0.9999782619540492,-0.9999784562014133,-0.8487765727083335,0.9772678725601907,-0.8692362414371126,-0.8880583342493863,-0.9999782560677652,-0.9999785032916834
bert_mfcc_bow_resnet,,,,1.0,-0.9251876996094011,-0.9999678491180654,-0.9999681316596862,-0.05552710420296848,-0.8693326940829162,0.9968215068327244,-0.9252308342968444,-0.9999678314592142,-0.9999681552048214
bert_mfcc_bow_incp,,,,,1.0,-0.9999187987154363,-0.9999192225278675,-0.9585163562902814,-0.8882489909805945,-0.9251946866282322,0.985264977685834,-0.9999188458057064,-0.9999193167084078
bert_blf_logfluc_resnet,,,,,,1.0,0.9950621437050831,-0.9999769375402013,-0.9999782089774951,-0.9999677843689438,-0.9999187163074635,0.9995196674720576,0.9950566459160449
bert_blf_logfluc_incp,,,,,,,1.0,-0.9999771847641198,-0.9999783443620219,-0.99996804336543,-0.9999190989159084,0.9950405822476449,0.9994437108663299
tfidf_blf_spectral_resnet,,,,,,,,1.0,-0.8488178826478093,-0.05536033989756983,-0.9585261334076184,-0.9999769669716203,-0.9999772671720922
tfidf_blf_spectral_incp,,,,,,,,,1.0,-0.8693102908868996,-0.8881925356329867,-0.9999782148637788,-0.9999784620876973
tfidf_mfcc_bow_resnet,,,,,,,,,,1.0,-0.9252156888887124,-0.9999677431649577,-0.9999680904556998
tfidf_mfcc_bow_incp,,,,,,,,,,,1.0,-0.9999187398525987,-0.999919181323881
tfidf_blf_logfluc_resnet,,,,,,,,,,,,1.0,0.9950710378798547
tfidf_blf_logfluc_incp,,,,,,,,,,,,,1.0
