,baseline,bert_essentia_vgg19,bert_essentia_resnet,bert_blf_logfluc_vgg19,bert_blf_logfluc_resnet,bert_mfcc_stats_vgg19,bert_mfcc_stats_resnet,tfidf_essentia_vgg19,tfidf_essentia_resnet,tfidf_blf_logfluc_vgg19,tfidf_blf_logfluc_resnet,tfidf_mfcc_stats_vgg19,tfidf_mfcc_stats_resnet
baseline,1.0,-0.9999978103024388,-0.9999978103024388,-0.999997851506425,-0.999997851506425,-0.9999980045498029,-0.9999979633458166,-0.9999978103024388,-0.9999978103024388,-0.9999978573927086,-0.999997851506425,-0.9999980104360866,-0.9999979692321005
bert_essentia_vgg19,,1.0,1.0,-0.9999608679855179,-0.9999610857780175,-0.9999611093231523,-0.9999572655798529,0.9990943187207811,0.9990943187207811,-0.9999608974169368,-0.9999610445740308,-0.9999611681859901,-0.9999572714661366
bert_essentia_resnet,,,1.0,-0.9999608679855179,-0.9999610857780175,-0.9999611093231523,-0.9999572655798529,0.9990943187207811,0.9990943187207811,-0.9999608974169368,-0.9999610445740308,-0.9999611681859901,-0.9999572714661366
bert_blf_logfluc_vgg19,,,,1.0,0.9915374016677903,-0.9997585446398838,-0.9997386019104818,-0.9999608797580856,-0.9999608797580856,0.9995470681229922,0.9915246814085699,-0.9997585210947486,-0.9997386431144681
bert_blf_logfluc_resnet,,,,,1.0,-0.9997592509939359,-0.9997388667932512,-0.9999610269151794,-0.9999610269151794,0.9915208082338515,0.9995973252137935,-0.9997591509271115,-0.9997387902715621
bert_mfcc_stats_vgg19,,,,,,1.0,-0.35150302577059184,-0.9999610210288958,-0.9999610210288958,-0.99975849166333,-0.9997591921310981,0.9996104987168636,-0.35151243205205124
bert_mfcc_stats_resnet,,,,,,,1.0,-0.9999572655798526,-0.9999572655798526,-0.9997385607064954,-0.9997387843852784,-0.3515161404108243,0.9994999778528574
tfidf_essentia_vgg19,,,,,,,,1.0,1.0,-0.9999609091895043,-0.9999610328014633,-0.999961044574031,-0.9999572714661362
tfidf_essentia_resnet,,,,,,,,,1.0,-0.9999609091895043,-0.9999610328014633,-0.999961044574031,-0.9999572714661362
tfidf_blf_logfluc_vgg19,,,,,,,,,,1.0,0.9915330811355052,-0.9997585740713028,-0.9997386372281841
tfidf_blf_logfluc_resnet,,,,,,,,,,,1.0,-0.9997591391545441,-0.9997387784989947
tfidf_mfcc_stats_vgg19,,,,,,,,,,,,1.0,-0.35151029533104383
tfidf_mfcc_stats_resnet,,,,,,,,,,,,,1.0
