,MAP_10,MAP_100,MRR_10,MRR_100,Mean NDCG_10,Mean NDCG_100,%DeltaMean,S10,S100
baseline,0.5384678619548107,0.46831824924731785,0.5978725057424378,0.6028631009279318,0.44580568344217986,0.4459892913656235,0.021470588235294026,0.3232459317387943,0.09493181646439364
set1,0.5381752233910759,0.4664523334514271,0.5978111617310493,0.602679002488314,0.44453106530676856,0.44350013827004114,0.021818181818181785,4.323139711934701,3.6186460502996542
set2,0.5361426596410602,0.46547957931385436,0.5961935089930748,0.6010284799395409,0.44215544979590393,0.44273520421687124,0.021388888888888975,5.220926403925103,4.8952947001611005
set3,0.5379297393270845,0.4662160743306888,0.5985617196719161,0.60353625006089,0.44465346356807617,0.44343972649539687,0.021388888888888975,4.515717930178981,3.7312417906476245
set4,0.5370482307845814,0.46668308728924496,0.5976190765249054,0.6026078325817761,0.4437247403652121,0.443958111326865,0.021818181818181785,4.9548438279324705,4.664267494181109
set5,0.538184204454854,0.46869338423054235,0.5979474528504992,0.6029459409956628,0.4464045111047752,0.44591371242043004,0.018055555555555516,4.146536034287427,3.8276313120171275
set6,0.5381665951714686,0.46869895759258684,0.5979623567107724,0.6029569100415669,0.4463900087305135,0.44591703585998393,0.018235294117646985,4.144243768828719,3.8261702371353454
set7,0.5381657842933344,0.4664589777812118,0.5976584867714076,0.6025319908174332,0.4445235531632649,0.44350638726120745,0.021818181818181785,4.321935284751316,3.618758737788351
set8,0.5361938674417702,0.465504737909785,0.5962087597236414,0.6010548982968407,0.4421278620914755,0.44272867099959473,0.021388888888888975,5.253673269446555,4.9044765539963215
set9,0.5379203939347926,0.4662163276678219,0.59855564366061,0.6035336281331498,0.4446615579915411,0.4434429364107874,0.021388888888888975,4.516602551392184,3.7312260268257877
set10,0.536982531013719,0.4666774765657847,0.5975061124326869,0.6024949857528397,0.4437031438773491,0.4439556562017075,0.02194444444444442,4.9571028188045565,4.669340612446198
set11,0.5381867134833096,0.4686936536774741,0.5979595933107682,0.6029581073976641,0.4464065948671942,0.44591439015625806,0.018055555555555516,4.146562311807275,3.8276357928262197
set12,0.5381643703564185,0.46869867078385136,0.5979611426647454,0.6029557300296583,0.44638820430740667,0.4459161746745769,0.018235294117646985,4.144226752142658,3.826171752736336
